,Title,Location,Company,Salary,Description
20,Machine Learning Engineer,"Mumbai, Maharashtra",Prism,1200000-1800000,"We're looking for deeply ambitious and curious minded individuals to join our startup. We're building innovative solutions by applying cutting edge techniques to create value for our customers. Our guiding philosophy is to look for contrarian solutions and pursue verticals and not follow horizontals. This means we are looking for individuals to innovate, not imitate.
This is a startup so you will not have a major support team or supervising team. Each member is expected to help push the team to its goals.
Startups are hard. Big dreams, but long hours and struggles to figure out optimal solutions. Does this sound like something that excites you and will drive you? Then we're looking to hear from you. We are NOT looking for candidates who want stability, fixed working hours and a fixed responsibilities.
Requirements
Proven experience as a Machine Learning Engineer or similar role
Understanding of data structures, data modeling and software architecture
Deep knowledge of math, probability, statistics and algorithms
Ability to write robust code in Python, Java and R
Familiarity with machine learning frameworks (like Keras or PyTorch) and libraries (like scikit-learn)
Excellent communication skills
Ability to work in a team
Outstanding analytical and problem-solving skills
BSc in Computer Science, Mathematics or similar field; Master’s degree is a plus
Thank you.
Job Types: Full-time, Contract
Salary: ₹100,000.00 to ₹150,000.00 /month
Experience:
Machine Learning Engineer or similar role: 2 years (Required)
Python, Java and R: 3 years (Required)
Education:
Master's (Required)
Work Remotely:
Yes"
21,Machine Learning,"Mumbai, Maharashtra",Prisma Global Limited,240000-480000,"Experience in object detection and recognition * Experience in Python, OpenCV. * Experience of tracking the object in live video * Experience in implementation of the one-shot learning and transfer learning algorithm * Able to manipulate existing ML models to achieve better accuracy * Experience in Tensorflow, Keras.
Job Type: Full-time
Pay: ₹20,000.00 - ₹40,000.00 per month
Experience:
Machine Learning: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Industry:
IT Operations & Helpdesk
Work Remotely:
Yes"
23,Data Analyst (R/Python),"Delhi, Delhi",SMC Finance,720000-960000,"Looking for data analyst from statistical background using tools like - R programming / Python
Knowledge of BFSI domain would be an added advantage
Job Type: Full-time
Salary: ₹60,000.00 to ₹80,000.00 /month
Experience:
total work: 2 years (Preferred)
Education:
Bachelor's (Preferred)"
26,Machine Learning Engineers,"Pune, Maharashtra",Hyper-dimension R&D Pvt. Ltd.,600000-800000,"Hyperdimensions is Transdisciplinary innovative ‘AI/ML and Data Driven’ firm providing a wide range of IT Services & Solutions, products & platforms that help Process data, automate business process & discover knowledge and insights from digital data using advanced algorithms. we are looking forward to hire Machine Learning Engineer for our firm.
Job Responsibilities:
Study and transform data science prototypes
Design machine learning systems
Research and implement appropriate ML algorithms and tools
Develop machine learning applications according to requirements
Select appropriate datasets and data representation methods
Run machine learning tests and experiments
Perform statistical analysis and fine-tuning using test results
Train and retrain systems when necessary
Extend existing ML libraries and frameworks
Skill Set:
Proven experience as a Machine Learning Engineer or similar role
Understanding of data structures, data modeling and software architecture
Deep knowledge of math, probability, statistics and algorithms
Ability to write robust code in Python, Java and R
Familiarity with machine learning frameworks (like Keras, Tensorflow or PyTorch) and libraries (like scikit-learn)
Excellent communication skills
Ability to work in a team
Outstanding analytical and problem-solving skills
Job Location: Pune(for now work from home)
Company : Hyper-dimension R&D Pvt. Ltd. (www.hyper-dimensions.com)
Job Types: Part-time, Contract
Salary: ₹600,000.00 to ₹800,000.00 /year
Experience:
Machine Learning: 2 years (Preferred)
total work: 3 years (Preferred)
Work Remotely:
Yes"
29,Data Analyst,"Kochi, Kerala",EW Technologies,600000-720000,"Salesforce experience an advantage
Job Type: Full-time
Salary: ₹50,000.00 to ₹60,000.00 /month
Experience:
Analysis: 4 years (Preferred)
SQL: 4 years (Preferred)
Education:
Required
Additional Compensation:
Bonuses
Work Location:
One location"
30,Machine Learning Engineer (Contract),"Coimbatore, Tamil Nadu",Research Grid Ltd,600000,"Company:
R.grid is an early-stage start-up that streamlines administrative medical research processes by using deep learning.
Job Overview:
We are looking for a Machine Learning Engineer who has skills in Natural Language Processing.
The job responsibilities include working with a team of software engineers building an app that utilizes deep learning-based natural language processing and data science combined with a user-friendly UX.
You should have a strong problem-solving ability and a background in mathematical modeling and statistical analysis.
Responsibilities and Duties:
Build and expand NLP algorithms, analytic systems, and other predictive models
Plan and manage data projects
Collaborate with a team of software engineers and data scientists
Lead data mining and collection procedures
Ensure data quality and integrity
Interpret and analyze data problems
Conceive, plan and prioritize data projects
Test performance of data-driven products
Visualize data and create reports
Experiment with new models and techniques
Align data projects with organizational goals
Requirements:
Excellent spoken and written English and comprehension
Proven experience as an NLP Engineer, Data Scientist, Machine Learning Engineer
Solid understanding of machine learning and neural networks
Knowledge of data management and visualization techniques
Expertise in statistical analysis and predictive modeling
Good knowledge of Python, R, and MATLAB
Experience with AWS
Strong organizational and leadership skills
Excellent communication skills
A business mindset
Degree in Computer Science, Data Science, Mathematics, Statistics or similar field
Benefits:
*
Monthly pay
No Saturday work
Business casual dress
Small team
Start-up environment
Job Types: Full-time, Contract
Salary: ₹50,000.00 /month
Experience:
Data Science: 4 years (Required)
AWS: 2 years (Required)
Machine Learning: 4 years (Required)
statistical analysis and predictive modelling: 3 years (Required)
Python: 4 years (Required)
NLP: 3 years (Required)
Education:
Master's (Preferred)
Location:
Coimbatore, Tamil Nadu (Preferred)
Language:
English (Required)"
32,Senior SQL Data Analyst,"Noida, Uttar Pradesh",DeepR Analytics,600000-1200000,"**We're DeepR Analytics (www.deepranalytics.com), a company based out of Toronto, Canada, that develops algorithmic trading solutions and products primarily focused on merging innovative trading algorithms with recent advances in machine learning algorithms such as deep learning and reinforced learning to automate trading and reap profits. Another major responsibility for this team is to conduct quantitative research on various trading & markets related topics in order to improve our algorithms.
Responsibilities:
You will be part of the Algorithm trading desk, and responsible for quantitative research and data analysis
Quantitative research would involve:
Querying historical high-frequency market data to identify price patterns
Applying numerical analyses to draw insights from real-time financial market data.
Identifying good quantitative trading strategies.
General technical and fundamental capital markets research.
Enhance the firm’s trading activities by reviewing and analyzing trade executions and reconciliations
Prepare performance sheets & reports
**
Perks & Benefits:
Cutting-edge work equipment.
Two-way free transportation
Health Insurance for self & family
Health and wellness benefits
**
Requirements
University degree/college diploma in Computer Science and experience in systems analysis, programming, and database experience with extensive business knowledge
Advanced knowledge of SQL with a minimum of 4 years of experience
Advanced knowledge of Presto for writing queries and procedures
Solid understanding of database design and development methodology, including query optimization
Understanding of relevant and emerging database technologies and tools
Visualization skills using Tableau
Hands-on experience with large scale data warehousing and analytics projects
Experience with implementing AWS services in a variety of distributed computing & enterprise environments.
Strong interest in financial markets
Understanding of market data
Passion for observing markets in real-time
Exceptional attention to detail and desire to understand issues deeply
Some experience in Python, R, is preferred and enthusiasm about learning these languages is required
Strong knowledge of excel
Strong English communication skills
Initiator and good leadership skills
Willing to work in the night shift: 6:30 PM to 3:00 AM
Strong pattern recognition skills, strong memory and attention to detail
Job Type: Full-time
Salary: ₹600,000.00 to ₹1,200,000.00 /year
Experience:
work: 1 year (Required)
total work: 1 year (Required)
Education:
Bachelor's (Required)"
33,"IT Data & Analytics Developer (Indore, India Office)","Indore, Madhya Pradesh","BioUrja Trading, LLC",1031040-1261440,"IT Data & Analytics Developer - Indore, India
The Developer shall work with the analysts to develop and maintain automation tools primarily to facilitate analysis and data-flow. The activities shall cover a wide range. It shall involve extracting, transforming and loading the data from various vendors and resources to databases, maintaining consistency in data sources. The developer shall be part of the initial team and will have an opportunity to design system and schemas from scratch.
Essential Job Functions
Build and Optimize the MS SQL Server Database around 3TB of data.
Work with stakeholders to assist with data-related technical issues and support their data infrastructure needs.
Perform data integrity, quality and audit checks.
Prototype and build dashboards integrating multiple data sources.
Performance Tuning of the SQL Server databases and tables.
Write SQL queries and stored procedures to surface data to business owners and applications.
Create, publish and maintain ETL jobs.
Pushing timely data to Tableau Server and prepare Tableau Reports.
Data Mining techniques.
Other Skills & Abilities
Bachelors in Engineering or Technology at a reputed University.
4-6 years’ experience at a major software development company or Team.
Advanced knowledge & experience of programming in SQL Server - stored procedures, views and SSIS.
Knowledge of reporting tools - Tableau Server/ Tableau Desktop/ Power BI.
Entrepreneurial spirit and ability to get things done under pressure.
Desire to work in a team-oriented culture.
BioUrja Group is an EEO employer. All qualified candidates will receive consideration for all positions without regard to race, color, age, religion, sex (including pregnancy), sexual orientation, gender identity, national origin, veteran status, disability, genetic information, or any other characteristic protected by law.
BioUrja Group is not currently accepting unsolicited resumes from search firms for this position. Regardless of past practice, all resumes submitted by search firms to any employee at BioUrja Group via-email, the Internet or directly to hiring managers at BioUrja Group in any form without a valid written agreement in place for that specific position will be deemed the sole property of BioUrja Group. As a result, no fee will be paid in the event the candidate is hired by BioUrja Group.
Job Type: Full-time
Pay: ₹358.00 - ₹438.00 per hour
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Secondary(10th Pass) (Preferred)
Industry:
Information Design & Documentation"
34,Machine Learning Engineer (Contract),"Coimbatore, Tamil Nadu",Research Grid Ltd,600000,"Company:
R.grid is an early-stage start-up that streamlines administrative medical research processes by using deep learning.
Job Overview:
We are looking for a Machine Learning Engineer who has skills in Natural Language Processing.
The job responsibilities include working with a team of software engineers building an app that utilizes deep learning-based natural language processing and data science combined with a user-friendly UX.
You should have a strong problem-solving ability and a background in mathematical modeling and statistical analysis.
Responsibilities and Duties:
Build and expand NLP algorithms, analytic systems, and other predictive models
Plan and manage data projects
Collaborate with a team of software engineers and data scientists
Lead data mining and collection procedures
Ensure data quality and integrity
Interpret and analyze data problems
Conceive, plan and prioritize data projects
Test performance of data-driven products
Visualize data and create reports
Experiment with new models and techniques
Align data projects with organizational goals
Requirements:
Excellent spoken and written English and comprehension
Proven experience as an NLP Engineer, Data Scientist, Machine Learning Engineer
Solid understanding of machine learning and neural networks
Knowledge of data management and visualization techniques
Expertise in statistical analysis and predictive modeling
Good knowledge of Python, R, and MATLAB
Experience with AWS
Strong organizational and leadership skills
Excellent communication skills
A business mindset
Degree in Computer Science, Data Science, Mathematics, Statistics or similar field
Benefits:
*
Monthly pay
No Saturday work
Business casual dress
Small team
Start-up environment
Job Types: Full-time, Contract
Salary: ₹50,000.00 /month
Experience:
Data Science: 4 years (Required)
AWS: 2 years (Required)
Machine Learning: 4 years (Required)
statistical analysis and predictive modelling: 3 years (Required)
Python: 4 years (Required)
NLP: 3 years (Required)
Education:
Master's (Preferred)
Location:
Coimbatore, Tamil Nadu (Preferred)
Language:
English (Required)"
39,Data Analytics Internship,"Hyderabad, Telangana",Prashaste Education And Management Consultancy Pri...,144000-180000,"About the company:
Prashaste Group was founded with a vision to educate, enable, and empower organizations to improve 3Ps- profitability, productivity, and processes and provide innovative solutions to their business challenges. In a short span, Prashaste has emerged as one of the leading solutions providers that offer business training, management consulting, and technology services for auto, healthcare, retail, and other sectors. Prashaste has established credibility as the channel management experts for the auto industry across passenger cars, commercial vehicles, two-wheelers, tractors, lubricants, and construction equipment. Committed to building business excellence, Prashaste is helping organizations optimize their performance by providing 360 solutions.
About the internship/job:
Selected intern's day-to-day responsibilities include: 1. Work on executing multiple client engagements as part of a team 2. Work on managing and analyzing large datasets and generate business insights 3. Build expertise in various client offerings across multiple sectors 4. Work on contributing to the internal learning and mentorship programs 5. Work on generating MIS, analytics and trackers for income 6. Work on outstanding, collection, payments, reconciliation of reimbursements received and paid, raising of invoices and follow up with clients for payments, reconciliation of claims/invoices of vendors, associates and employees
Who can apply:
Only those students or freshers can apply who:
are available for full time (in-office) internship
have relevant skills and interests
can start the internship between 29th Jun'20 and 3rd Aug'20
are available for duration of 3 months
have already graduated or are currently in any year of study
Females willing to start/restart their career may also apply
Other requirements:
Candidate must be a graduate (any specialization) from a top tier institution Candidate must have 1-3 years of analytics experience Candidate having consulting experience would be preferred Candidate must have a strong aptitude for data management and interpretation Candidate must have excellent analytical and problem-solving skills Candidate must have communication and interpersonal skills Candidate must have expertise in MS office (Excel) Candidate must have expertise in Power BI, SAS, SPSS, etc. Candidate must have experience in the usage of R or Python Candidate must have strong multi-tasking ability
Number of internships/jobs available: 1
Additional details:
This internship is for 3 months post which will be absorbed as a regular employee based on the performance.
Categories: Analytics,Data Science"
