Title,Location,Company,Salary,Sponsored,Description
Data Scientist,"Pune, Maharashtra",Coditation Systems,"₹14,00,000 - ₹20,00,000 a year",Organic,"Data Scientist
Pune, India
*
About Us
Coditation Systems is a next generation product engineering partner specializing in Data + Cloud Engineering. We are a young team led by a group of passionate technologists having a proven track record of building complex products using next generation technologies, frameworks and platforms.
What are we looking for?
A Data Scientist who would take responsibility to help the team with building automated algorithms, end to end data products and business insights generations. Someone whose role requires high technical aptitude, problem-solving abilities, motivation, intellectual curiosity, and a passion for data discovery.
A scientist who will be the centre of innovation for the company and a major contributor to the company’s products and business.
A Day in the Life
Deep understanding of statistics and ML algorithms work internally with proficiency in supervised and unsupervised algorithms
Exposure to time series forecasting/classification
Exposure to Ensemble modeling
Researching the latest modeling techniques. Understanding trade-offs between competing approaches
Exposure to Deep Learning and NLP is an added advantage
Model design and implementation: This would require experience in deriving feature sets, feature engineering, model training and evaluation
Fast-paced work environment
What you’ll need
Hands on experience in handling large data sets strongly preferred
Experience in deploying trained models for high scalability on public cloud platforms (AWS/GCP) using Dockers/Kubernetes
In-depth knowledge of Time Series Modelling, LSTMs, Regression techniques, Decision trees. Classification algorithms like Neural Nets, SVMs. Clustering algorithms like KNNs, Expectation Maximising algorithm
Knowledge of Data Engineering
Good to have knowledge of TensorFlow, PyTorch, PySpark, MXNET etc.
*
Job Type: Full-time
Salary: ₹1,400,000.00 to ₹2,000,000.00 /year
Experience:
total work: 3 years (Required)
Dockers/Kubernetes: 3 years (Preferred)
Education:
Bachelor's (Required)
Location:
Pune, Maharashtra (Preferred)
Work Remotely:
Temporarily due to COVID-19"
Machine Learning Internship,"Kurnool, Andhra Pradesh",Techshra,"₹10,000 a month",Organic,"About the company:
Techshra is a customer-oriented company offering mobile applications, software development, web development, and business development services in various technologies. For the welfare of its clients, Techshra also additionally steps up for providing digital promoting, organic SEO, ads on Google, Facebook, LinkedIn, and various alternative social media sites.
About the internship/job:
Selected intern's day-to-day responsibilities include: 1. Design experiments and statistical analysis of results 2. Work on machine learning, algorithms, and computational complexity 3. Extract, transform and clean large (multi-TB) data sets in a Unix/Linux environment Skills & Requirements: 1. Â· Programming skills 2. Â· Background in machine learning with domain knowledge and experience in the following areas: data-driven statistical modeling, graphical models, feature extraction and analysis, supervised learning, in particular discriminative methods.
Who can apply:
Only those students or freshers can apply who:
are available for full time (in-office) internship
have relevant skills and interests
can start the internship between 17th Jun'20 and 22nd Jul'20
are available for duration of 3 months
have already graduated or are currently in any year of study
Females willing to start/restart their career may also apply
Number of internships/jobs available: 4
Categories: Machine Learning,Data Science"
"Consultant, Advanced Analytics Python/R","Bengaluru, Karnataka",Fractal.ai,None,Organic,"Role Brief:
1-6 years of Advanced analytics/Predictive Modeling using Python/R, SQL and Machine Learning.
Brief about the Team & Fractal:
Fractal Analytics is Leading Fortune 500 companies leverage Big Data, analytics and technology to drive smarter, faster and more accurate decisions in every aspect of their business.
Fortune 500 companies recognize analytics is a competitive advantage to understand customers and make better decisions. We deliver insight, innovation and impact to them through predictive analytics and visual story-telling.e.
Technical and domain expertise-
Expertise in Python/R plus SQL & advanced analytics/Statistics Techniques such as general linear model, ANOVA, decision trees, linear regression, Bayesian etc
Execution excellence -
Lead at least one client engagement independently. Execute end to end client engagements. Ensure regular client updates & meetings, stakeholder management, any failure or risk analysis of the project, data sources, tracking execution & success metrics is done effectively & efficiently.
Job Responsibilities:
Solve business problems & develop a business solution: Use problem-solving methodologies to propose creative solutions to solve a business problem. Recommend design and develop state-of-the-art data-driven analysis using statistical & advanced analytics methodologies to solve business problems. Develop models & recommend insights. Form hypothesis and run experiments to gain empirical insights and validate the hypothesis. Identify and eliminate possible obstacles and identify an alternative creative solution.
Project management: Lead at least one client engagement independently. Execute end to end client engagements. Ensure regular client updates & meetings, stakeholder management, any failure or risk analysis of the project, data sources, tracking execution & success metrics is done effectively & efficiently.
Client relationship management: Build deep client relationship, network & be a thought partner. Anticipate business problems & deliver par excellence.
Sales Support & account growth: Actively focus on opportunities to grow the client along with the senior engagement manager. Support the sales team as required for RFPs and regular sales pitches
Firm building: Contribute to firm growth by participating and conducting training sessions.
Coaching & grooming: Coach & groom the team on gaining knowledge & skills on first principles of analytics techniques, problem-solving, project management, client relationship management
The Person:
Experience:
The overall experience of Minimum 1 to 6 years with at least 1 to 6 years of hands-on experience in running Advanced analytics projects
High proficiency in concepts and algorithms used in design of experiments.
Expert-level proficiency in statistical/ML predictive techniques such as regression, Bayesian methods, tree-based learners, SVM etc.
Good to have working experience in one or more of Probabilistic graphical models, Reinforcement learning, NLP and related areas
Expertise in Python/R plus SQL & advanced analytics/Statistics Techniques such as general linear model, ANOVA, decision trees, linear regression, Bayesian etc
Problem-solving, Project management, and communication skills & Creative thinking
Knowledge of data conversion strategy, capturing data, creating source to target definitions for ETL/ data flow process, data quality, and database management
Education:
B.E/B.Tech/M.Tech in Computer Science or related technical degree OR Equivalent
Location: Bangalore/Mumbai/Gurgaon"
AI/Machine Learning Engineer (Premium Colleges only)- MUMBAI,"Bengaluru, Karnataka",Zycus,None,Organic,"Share this job

Description
Requirements

We are looking for applicants with a strong background in Analytics and Data mining (Web, Social and Big data), Machine Learning and Pattern Recognition, Natural Language Processing and Computational Linguistics, Statistical Modelling and Inferencing, Information Retrieval, Large Scale Distributed Systems and Cloud Computing, Econometrics and Quantitative Marketing, Applied Game Theory and Mechanism Design, Operations Research and Optimization, Human Computer Interaction and Information Visualization. Applicants with a background in other quantitative areas are also encouraged to apply.

We are looking for someone who can create and implement AI solutions. If you have built a product like IBM WATSON in the past and not just used WATSON to build applications, this could be the perfect role for you.

All successful candidates are expected to dive deep into problem areas of Zycus’ interest and invent technology solutions to not only advance the current products, but also to generate new product options that can strategically advantage the organization.

Skills:
Experience in predictive modelling and predictive software development
Skilled in Java, C++, Perl/Python (or similar scripting language)
Experience in using R, Matlab, or any other statistical software
Experience in mentoring junior team members, and guiding them on machine learning and data modelling applications
Strong communication and data presentation skills
Classification (svm, decision tree, random forest, neural network)
Regression (linear, polynomial, logistic, etc)
Classical Optimization(gradient descent, newton raphson, etc)
Graph theory (network analytics)
Heuristic optimisation (genetic algorithm, swarm theory)
Deep learning (lstm, convolutional nn, recurrent nn)

Must Have:
Experience: 1-9 years
The ideal candidate must have proven expertise in Artificial Intelligence (including deep learning algorithms), Machine Learning and/or NLP
The candidate must also have expertise in programming traditional machine learning algorithms, algorithm design & usage
Preferred experience with large data sets & distributed computing in Hadoop ecosystem
Fluency with databases
Benefits"
Risk Analytics - Machine Learning Engineer,"Chennai, Tamil Nadu",DTCC,None,Organic,"About this Opportunity
The incumbent will be responsible for studying data, discovering the information hidden and help making smarter and better decisions for the Business. The primary focus of the role will be on applying text and data mining techniques, doing statistical analysis and building high quality and high-performance prediction systems integrated with the Risk applications. They will also have proven experience in data analysis, modeling and implementing solutions along with sound understanding of capital markets and financial risk domain to be able to recommend the best-fit model and solution approach.
Business Unit: Global Chief Risk Office
Our Risk Management teams work to protect the safety and soundness of our systems and are responsible for identifying, managing, measuring and mitigating a spectrum of key risk types including credit, market, liquidity, systemic, operational and technology in all existing and new products, activities, processes and systems.
What You'll Do
Collaborate with cross functional teams to collate data
Enhancing data collection procedures to include information that is relevant for building analytical solutions
Analyze, extract and understand meaningful patterns from the large volumes / dimensions of historical data by utilizing analytics techniques and SMEs’ inputs
Design, develop, evaluate and implement high quality innovative predictive/prescriptive models using open source tools such as R, Python, or similar scripting within Apache Spark/AWS cloud based big data environment
Support the team in creating/executing novel approaches to solve challenging problems by leveraging AI/ ML/NLP and Big Data/Cloud technologies
Collaborate closely with Business Partners/Analysts, Data Analysts, Application Development and other Data Scientists to integrate innovations and algorithms into useable data products
Doing ad-hoc analysis and presenting results in a clear manner
Aligns risk and control processes into day to day responsibilities to monitor and mitigate risk; escalates appropriately
Sound Like You?
Minimum of 6 years of related experience
Bachelor's degree preferred with Masters or equivalent experience
Additional Qualifications
Minimum of 3-5 years of related experience in Data analysis, Data Science, Modeling
Experience with SQL, Python, Big Data and Machine Learning Algorithms
Strong analytical and problem-solving skills
Great communication skills
Experience in Financial industry with focus on Risk Management is preferred
Experience in Data Visualization tools and AWS is a plus

About DTCC

DTCC safeguards the financial markets and helps them run efficiently, in times of prosperity and crisis. We are uniquely positioned at the center of global trading activity, processing over 100 million financial transactions every day, pioneering industry-wide, post-trade solutions and maintaining multiple data and operating centers worldwide. From where we stand, we can anticipate the industry’s needs and we’re working to continually improve the world’s most resilient, secure and efficient market infrastructure. Our employees are driven to deliver innovative technologies that improve efficiency, lower cost and bring stability and certainty to the post-trade lifecycle.

Our work environment favors openness and gives people freedom to do their jobs well, by encouraging diverse opinions and emphasizing teamwork. When you join our team, you’ll have an opportunity to make meaningful contributions at a company that is recognized as a thought leader in both the financial services and technology industries. A DTCC career is more than a good way to earn a living. It’s the chance to make a difference at a company that’s truly one of a kind.

Our Risk Management teams work to protect the safety and soundness of our systems and are responsible for identifying, managing, measuring and mitigating a spectrum of key risk types including credit, market, liquidity, systemic, operational and technology in all existing and new products, activities, processes and systems."
Machine Learning Developer,"Hyderabad, Telangana",Jigya,"₹3,25,000 - ₹4,25,000 a year",Organic,"Skills
Machine LearningPythonJavaR
Job Description
Machine Learning Developer responsibilities include creating machine learning models and retraining systems. To do this job successfully, you need exceptional skills in statistics and programming
Responsibilities:
Study and transform data science prototypes
Design machine learning systems
Research and implement appropriate ML algorithms and tools
Develop machine learning applications according to requirements
Select appropriate datasets and data representation methods
Run machine learning tests and experiments
Perform statistical analysis and fine-tuning using test results
Train and retrain systems when necessary
Extend existing ML libraries and frameworks
Keep abreast of developments in the field
Analysis of huge data set
Application of statistical methods for problem solving /analysis
Predictive modelling and supervise learning
Operational Research
Requirements
Proven experience as a Machine Learning Engineer or similar role
Understanding of data structures, data modeling and software architecture
Deep knowledge of math, probability, statistics and algorithms
Ability to write robust code in Python, Java and R
Familiarity with machine learning frameworks (like Keras or PyTorch) and libraries (like scikit-learn)
Excellent communication skills
Ability to work in a team
Outstanding analytical and problem-solving skills
Graduation/ Master’s degree in Mathematics or similar field is a plus
Job Type: Full-time
Salary: ₹325,000.00 to ₹425,000.00 /year
Experience:
total work: 1 year (Preferred)
Data Science: 3 years (Required)
Education:
Diploma (Preferred)
Location:
Hyderabad, Telangana (Required)
Language:
English (Required)
Shifts:
Night (Required)
Morning (Required)
Work Remotely:
Temporarily due to COVID-19"
Data Scientist | Machine Learning & Statistical Analysis,"Delhi, Delhi",Manmuk Creations,None,Organic,"2 - 5 Years
Delhi, Bengaluru, Mumbai
Job Description

Build Data Pipelines for AI/ML Solutions using Python
Programming skills:- Python (with working experience in most of common libraries like Scikit , numpy, pandas, mathplotlib, keras, tensorflow, nltk, genism, spacy etc)
Good knowledge in statistics and deep understanding on ML algorithms and their usage
Understanding of big data related technologies and DevOps(Dockers, Singularity)
Required Candidate profile
Good communication and presentation skill
Bachelor's Degree in computer sciences or related field
2+ total years of Experience
1+ years of relevant Experience
Salary:
Not Disclosed by Recruiter
Industry:
IT-Software / Software Services
Functional Area:
Analytics & Business Intelligence
Role Category:
Analytics & BI
Role:
Data Analyst
Keyskills
Tensorflow
Nltk
Algorithms
Artificial Intelligence
Keras
Spacy
Machine Learning
Statistics
Numpy
Python
Desired Candidate Profile
Please refer to the Job description above
Company Profile
Manmuk Creations
A client of Manmuk Creation
View Contact Details
+

Contact Company:
Manmuk Creations
Reference Id:
Manmuk/DS/JUN20"
Data Analyst,"Kochi, Kerala",EW Technologies,"₹50,000 - ₹60,000 a month",Organic,"Salesforce experience an advantage
Job Type: Full-time
Salary: ₹50,000.00 to ₹60,000.00 /month
Experience:
Analysis: 4 years (Preferred)
SQL: 4 years (Preferred)
Education:
Required
Additional Compensation:
Bonuses
Work Location:
One location"
"IT Data & Analytics Developer (Indore, India Office)","Indore, Madhya Pradesh","BioUrja Trading, LLC",₹358 - ₹438 an hour,Organic,"IT Data & Analytics Developer - Indore, India
The Developer shall work with the analysts to develop and maintain automation tools primarily to facilitate analysis and data-flow. The activities shall cover a wide range. It shall involve extracting, transforming and loading the data from various vendors and resources to databases, maintaining consistency in data sources. The developer shall be part of the initial team and will have an opportunity to design system and schemas from scratch.
Essential Job Functions
Build and Optimize the MS SQL Server Database around 3TB of data.
Work with stakeholders to assist with data-related technical issues and support their data infrastructure needs.
Perform data integrity, quality and audit checks.
Prototype and build dashboards integrating multiple data sources.
Performance Tuning of the SQL Server databases and tables.
Write SQL queries and stored procedures to surface data to business owners and applications.
Create, publish and maintain ETL jobs.
Pushing timely data to Tableau Server and prepare Tableau Reports.
Data Mining techniques.
Other Skills & Abilities
Bachelors in Engineering or Technology at a reputed University.
4-6 years’ experience at a major software development company or Team.
Advanced knowledge & experience of programming in SQL Server - stored procedures, views and SSIS.
Knowledge of reporting tools - Tableau Server/ Tableau Desktop/ Power BI.
Entrepreneurial spirit and ability to get things done under pressure.
Desire to work in a team-oriented culture.
BioUrja Group is an EEO employer. All qualified candidates will receive consideration for all positions without regard to race, color, age, religion, sex (including pregnancy), sexual orientation, gender identity, national origin, veteran status, disability, genetic information, or any other characteristic protected by law.
BioUrja Group is not currently accepting unsolicited resumes from search firms for this position. Regardless of past practice, all resumes submitted by search firms to any employee at BioUrja Group via-email, the Internet or directly to hiring managers at BioUrja Group in any form without a valid written agreement in place for that specific position will be deemed the sole property of BioUrja Group. As a result, no fee will be paid in the event the candidate is hired by BioUrja Group.
Job Type: Full-time
Pay: ₹358.00 - ₹438.00 per hour
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Secondary(10th Pass) (Preferred)
Industry:
Information Design & Documentation"
Senior SQL Data Analyst,"Noida, Uttar Pradesh",DeepR Analytics,"₹6,00,000 - ₹12,00,000 a year",Organic,"**We're DeepR Analytics (www.deepranalytics.com), a company based out of Toronto, Canada, that develops algorithmic trading solutions and products primarily focused on merging innovative trading algorithms with recent advances in machine learning algorithms such as deep learning and reinforced learning to automate trading and reap profits. Another major responsibility for this team is to conduct quantitative research on various trading & markets related topics in order to improve our algorithms.
Responsibilities:
You will be part of the Algorithm trading desk, and responsible for quantitative research and data analysis
Quantitative research would involve:
Querying historical high-frequency market data to identify price patterns
Applying numerical analyses to draw insights from real-time financial market data.
Identifying good quantitative trading strategies.
General technical and fundamental capital markets research.
Enhance the firm’s trading activities by reviewing and analyzing trade executions and reconciliations
Prepare performance sheets & reports
**
Perks & Benefits:
Cutting-edge work equipment.
Two-way free transportation
Health Insurance for self & family
Health and wellness benefits
**
Requirements
University degree/college diploma in Computer Science and experience in systems analysis, programming, and database experience with extensive business knowledge
Advanced knowledge of SQL with a minimum of 4 years of experience
Advanced knowledge of Presto for writing queries and procedures
Solid understanding of database design and development methodology, including query optimization
Understanding of relevant and emerging database technologies and tools
Visualization skills using Tableau
Hands-on experience with large scale data warehousing and analytics projects
Experience with implementing AWS services in a variety of distributed computing & enterprise environments.
Strong interest in financial markets
Understanding of market data
Passion for observing markets in real-time
Exceptional attention to detail and desire to understand issues deeply
Some experience in Python, R, is preferred and enthusiasm about learning these languages is required
Strong knowledge of excel
Strong English communication skills
Initiator and good leadership skills
Willing to work in the night shift: 6:30 PM to 3:00 AM
Strong pattern recognition skills, strong memory and attention to detail
Job Type: Full-time
Salary: ₹600,000.00 to ₹1,200,000.00 /year
Experience:
work: 1 year (Required)
total work: 1 year (Required)
Education:
Bachelor's (Required)"
Data Lake Developer,"Bengaluru, Karnataka",Mylan,"₹15,00,000 - ₹23,00,000 a year",Organic,"POSITION PURPOSE:
As the Senior Azure Data Engineer, you will design and build data services and solutions within the Azure data framework / ecosystem. You will be accountable for operating this platform at Mylan. Accountabilities include the development of Azure data platforms that can support the data analytics requirements of the company’s business community, data science use cases, as well as the data management functions that govern and support the use of data across the enterprise. This will be a hands on Azure technical expertise role. You will be expected to ensure our Azure data platform delivers scalable solutions that transform data to insights which lead to tangible business value.
ESSENTIAL DUTIES AND RESPONSIBILITIES:
1. Create and maintain optimal data pipeline architecture on Azure platform.
2. Develop batch processing solutions by using Data Factory and Azure Databricks.
3. Delivering a Data Warehouse in the Azure Cloud.
4. Design relational and non-relational data stores on Azure.
5. Identify, design, and implement internal process improvements : automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc..
6. Developing Big Data Solutions with Azure Machine Learning.
7. Strong interaction with business departments to provide consultative support for digitization efforts, as well as close collaboration with the Business Technology management, focused on future innovation topics.
8. Participate and lead in design sessions, demos and prototype sessions, testing and training workshops with business users and other IT colleagues.
9. Design & Build for any API Development or SQL DB development.
10. Providing service management, orchestration, monitoring and management requirements of Azure cloud platform.
11. Create data tools / products for analytics and data scientist team members that assist them in building and innovative solutions that drive tangible business value.
12. Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources.
13. Build analytics tools that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency and other key business performance metrics.
14. Design security for source data access. Chose the appropriate authentication mechanism, (ie Azure Active Directory (Azure AD), etc).
15. Design for real-time processing by using Stream Analytics and Azure Databricks.
SKILLS AND ABILITIES:
1. 10 years of experience in Microsoft technologies including SQL.
2. At least 5 years as a Sr Developer with at least 3 years hands on experience as Azure Data Engineer building large scale Azure data solutions.
3. At least 5+ years of experience in Azure based data solutions.
4. At least 3+ years of experience on working with large projects including the most recent project in the cloud (Azure) or on prem with a focus on Azure Data services.
5. At least 5+ years of Hands-on administration, configuration management, monitoring, performance tuning of Hadoop/Distributed platforms.
6. At least 5+ years of demonstrated experience at least in the most recent 2+ years of designing and delivering solutions using Cortana Intelligence suite of analytics services part of Microsoft Azure including Azure Machine Learning Studio, HDInsight, Polybase, Azure Data Lake Analytics, Azure Data Warehouse, Streaming Analytics, Data Catalog, R/R Studio
7. Experience in designing and building logics required for optimal extraction, transformation, and loading of data from a wide variety of data sources
8. Experience within Data Security design, including but not limited to:
a. Choosing the appropriate authentication mechanism, such as Azure Active Directory (Azure AD)
b. Defining strategies for data encryption for data at rest and in transit
9. Experience partnering with Business Analysts and Data Scientists to enable effective and efficient data preparation and delivery
10. Experienced in vendor management and working with 3rd parties onshore & offshore.
11. Experience working in a global team.
12. Experience working in an Analytics / Big Data solutions on MS Azure Cloud
13. Experience with code management tools, automated testing
14. Experience creating and maintaining optimal data pipeline architecture on Azure platform
15. Experience developing batch and real-time processing solutions by using Data Factory and Azure Databricks
16. Familiar with AGILE and Azure DevOps methodology
17. Hands on PoC capabilities are needed to prove a particular architecture concept
18. Azure Native Services experience across Data Fabric and Service Fabric
19. Experience in Application modernization from legacy on-premise data architecture platform technology stack to modernized Azure Cloud base Architecture.
20. Experience with Git, NoSQL Data Solutions, Microsoft Azure, HD Insights, Azure ML, DataBricks ML Flow, R or Python.
21. Must have excellent communication skills.
EDUCATION/EXPERIENCE:
Minimum of a Bachelor's degree in Computer Science and Engineering is preferred with minimum 10 to 15 years of experience. However, a combination of experience and/or education will be taken into consideration
Job Type: Full-time
Salary: ₹1,500,000.00 to ₹2,300,000.00 /year
Experience:
Azure data Solutions & Big Data Solutions: 3 years (Required)"
Machine Learning Engineer (Contract),"Coimbatore, Tamil Nadu",Research Grid Ltd,"₹50,000 a month",Organic,"Company:
R.grid is an early-stage start-up that streamlines administrative medical research processes by using deep learning.
Job Overview:
We are looking for a Machine Learning Engineer who has skills in Natural Language Processing.
The job responsibilities include working with a team of software engineers building an app that utilizes deep learning-based natural language processing and data science combined with a user-friendly UX.
You should have a strong problem-solving ability and a background in mathematical modeling and statistical analysis.
Responsibilities and Duties:
Build and expand NLP algorithms, analytic systems, and other predictive models
Plan and manage data projects
Collaborate with a team of software engineers and data scientists
Lead data mining and collection procedures
Ensure data quality and integrity
Interpret and analyze data problems
Conceive, plan and prioritize data projects
Test performance of data-driven products
Visualize data and create reports
Experiment with new models and techniques
Align data projects with organizational goals
Requirements:
Excellent spoken and written English and comprehension
Proven experience as an NLP Engineer, Data Scientist, Machine Learning Engineer
Solid understanding of machine learning and neural networks
Knowledge of data management and visualization techniques
Expertise in statistical analysis and predictive modeling
Good knowledge of Python, R, and MATLAB
Experience with AWS
Strong organizational and leadership skills
Excellent communication skills
A business mindset
Degree in Computer Science, Data Science, Mathematics, Statistics or similar field
Benefits:
*
Monthly pay
No Saturday work
Business casual dress
Small team
Start-up environment
Job Types: Full-time, Contract
Salary: ₹50,000.00 /month
Experience:
Data Science: 4 years (Required)
AWS: 2 years (Required)
Machine Learning: 4 years (Required)
statistical analysis and predictive modelling: 3 years (Required)
Python: 4 years (Required)
NLP: 3 years (Required)
Education:
Master's (Preferred)
Location:
Coimbatore, Tamil Nadu (Preferred)
Language:
English (Required)"
"IT Data & Analytics Developer (Indore, India Office)","Indore, Madhya Pradesh","BioUrja Trading, LLC",₹358 - ₹438 an hour,Organic,"IT Data & Analytics Developer - Indore, India
The Developer shall work with the analysts to develop and maintain automation tools primarily to facilitate analysis and data-flow. The activities shall cover a wide range. It shall involve extracting, transforming and loading the data from various vendors and resources to databases, maintaining consistency in data sources. The developer shall be part of the initial team and will have an opportunity to design system and schemas from scratch.
Essential Job Functions
Build and Optimize the MS SQL Server Database around 3TB of data.
Work with stakeholders to assist with data-related technical issues and support their data infrastructure needs.
Perform data integrity, quality and audit checks.
Prototype and build dashboards integrating multiple data sources.
Performance Tuning of the SQL Server databases and tables.
Write SQL queries and stored procedures to surface data to business owners and applications.
Create, publish and maintain ETL jobs.
Pushing timely data to Tableau Server and prepare Tableau Reports.
Data Mining techniques.
Other Skills & Abilities
Bachelors in Engineering or Technology at a reputed University.
4-6 years’ experience at a major software development company or Team.
Advanced knowledge & experience of programming in SQL Server - stored procedures, views and SSIS.
Knowledge of reporting tools - Tableau Server/ Tableau Desktop/ Power BI.
Entrepreneurial spirit and ability to get things done under pressure.
Desire to work in a team-oriented culture.
BioUrja Group is an EEO employer. All qualified candidates will receive consideration for all positions without regard to race, color, age, religion, sex (including pregnancy), sexual orientation, gender identity, national origin, veteran status, disability, genetic information, or any other characteristic protected by law.
BioUrja Group is not currently accepting unsolicited resumes from search firms for this position. Regardless of past practice, all resumes submitted by search firms to any employee at BioUrja Group via-email, the Internet or directly to hiring managers at BioUrja Group in any form without a valid written agreement in place for that specific position will be deemed the sole property of BioUrja Group. As a result, no fee will be paid in the event the candidate is hired by BioUrja Group.
Job Type: Full-time
Pay: ₹358.00 - ₹438.00 per hour
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Secondary(10th Pass) (Preferred)
Industry:
Information Design & Documentation"
Machine Learning Engineer (Contract),"Coimbatore, Tamil Nadu",Research Grid Ltd,"₹50,000 a month",Organic,"Company:
R.grid is an early-stage start-up that streamlines administrative medical research processes by using deep learning.
Job Overview:
We are looking for a Machine Learning Engineer who has skills in Natural Language Processing.
The job responsibilities include working with a team of software engineers building an app that utilizes deep learning-based natural language processing and data science combined with a user-friendly UX.
You should have a strong problem-solving ability and a background in mathematical modeling and statistical analysis.
Responsibilities and Duties:
Build and expand NLP algorithms, analytic systems, and other predictive models
Plan and manage data projects
Collaborate with a team of software engineers and data scientists
Lead data mining and collection procedures
Ensure data quality and integrity
Interpret and analyze data problems
Conceive, plan and prioritize data projects
Test performance of data-driven products
Visualize data and create reports
Experiment with new models and techniques
Align data projects with organizational goals
Requirements:
Excellent spoken and written English and comprehension
Proven experience as an NLP Engineer, Data Scientist, Machine Learning Engineer
Solid understanding of machine learning and neural networks
Knowledge of data management and visualization techniques
Expertise in statistical analysis and predictive modeling
Good knowledge of Python, R, and MATLAB
Experience with AWS
Strong organizational and leadership skills
Excellent communication skills
A business mindset
Degree in Computer Science, Data Science, Mathematics, Statistics or similar field
Benefits:
*
Monthly pay
No Saturday work
Business casual dress
Small team
Start-up environment
Job Types: Full-time, Contract
Salary: ₹50,000.00 /month
Experience:
Data Science: 4 years (Required)
AWS: 2 years (Required)
Machine Learning: 4 years (Required)
statistical analysis and predictive modelling: 3 years (Required)
Python: 4 years (Required)
NLP: 3 years (Required)
Education:
Master's (Preferred)
Location:
Coimbatore, Tamil Nadu (Preferred)
Language:
English (Required)"
Data Scientist,"Chennai, Tamil Nadu",BrandIdea Consultancy P Ltd,None,Organic,"Perform data-mining, modeling and hypothesis generation in support of high-level business goals.
Stay current with emerging tools and techniques in machine learning, statistical modeling & analytics.
Strong aptitudes for business, technology, mathematics & statistics.
Need strong oral & written communication skills to present data as a concise story for diverse audiences.
Develop customized algorithms to solve analytical problems with incomplete data sets.
Skills Needed:

R/Python Programming

SQL

Statistical Modeling

Machine Learning Techniques

Knowledge on Software Development is an added advantage"
Machine learning - Interns,"Chennai, Tamil Nadu",Mavenai,"₹8,000 - ₹10,000 a month",Organic,"Job Summary
Strong knowledge with Python + Flask,
Experience with data anotation,
Must have done atleast one project on deep learning models.
Image analysis, expereince preferred.
worked in ML model specifically CNN image analaysis.
Experience in Deep Learning using Convolutional Neural Networks is plus
Sound knowledge of Object detection,Semantic segmentation,Instance segmentation(Faster-RCNN,Single shot multibox detector(SSD),Mask RCNN,Mobile-net)
Classic Image processing techniques using OpenCV
Familiarity with Amazon Web service( Elastic Cloud Compute(EC2),Amazon Sagemaker) and deployment
Must have sound knowledge in image processing, computer vision areas
Job Types: Full-time, Part-time, Internship
Job Types: Full-time, Internship, Fresher
Salary: ₹8,000.00 to ₹10,000.00 /month
Experience:
Machine Learning: 1 year (Preferred)
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
Temporarily due to COVID-19"
Analytics Scientist,"Bengaluru, Karnataka",OYE Loans,None,Organic,"Designation: Analytics Scientist
Experience: 1- 3 Years
Location: Bangalore
Commitment: Full-Time
Functional Team: Analytics
Number of opening: 1
Job Description:
Coming up with data driven solutions to control risk and collections
Finding opportunities to acquire more customers by modifying/optimizing existing rules
Doing periodic upgrades of the underwriting strategy based on business requirements
Evaluating 3rd party solutions for predicting/controlling risk of the portfolio
Running periodic controlled tests to optimize underwriting
Monitoring key portfolio metrics and take data driven actions based on the performance
Building models to predict risk and other key metrics
Do You Know? (Technical Skills and Experience)
1 – 2 years of experience in Financial Services/Analytics Industry
Strong Analytical aptitude and logical reasoning ability
Knowledge of analytical tools such as R/Python
Dexterity with SQL/MySQL, MS Excel
Strong presentation and communication skills.
Understanding of the financial services business
Established competency in statistics
Experience in handling complex data sources and working on advanced machine learning techniques
If you’re interested in applying for this position, please mail your resume to Careers@oyefin.com"
Machine Learning Engineer,"Chandigarh, Chandigarh",CrossML,None,Organic,"We are looking for highly motivated Machine Learning Engineer who can help us to generate usefule insights from hightly volatiled data of Finance, Healthcare, Real Estate etc. One should be quick learner to build machine-learning solutions to communicate with complex data to make future decisions.
Responsibilities
Work closely with experienced machine learning engineers on detailed requirements and implementation of end-to-end solutions in production.
Conduct hands-on data analysis of complex data, build large-scale machine-learning models and pipelines.
Establish scalable, efficient, automated processes for large-scale data analysis, machine-learning model development, model validation and deployments.
Skills and Experience
M.S. or Bachelor in Computer Science, Machine Learning, Statistics, Applied Mathematics or related discipline
Should be aware with Python, Tensorflow, Pandas, Numpy, Matplotlib or other machine learning tools
Education in computation or other applied mathematics is a big plus
Good communication skills and ability to work with a team
Domain knowledge of Finance, Healthcare, Retail or Real Estate is also a plus.
Are you ready ?
What are you waiting for, if above mentioned job details match to skills, send us your updated resume at hello@crossml.com"
